id;name;urk_mark;inter_mark;code_soei
2240;Мільйон тонно-кілометрів тарифних;млн.ткм тариф;—;—
2241;Тисяча тонно-пасажиро-кілометрів;тис.т.пас.км;—;460
2242;Мільйон тонно-пасажиро-кілометрів;млн.т.пас.км;—;—
2243;Електровозо-кілометр;електровоз.км;—;462
2244;Тисяча електровозо-кілометрів;тис.електровоз.км;—;463
2245;Вагон за добу;ваг/доб;—;490
2246;Тисяча вагонів за добу;тис.ваг/доб;—;—
2247;Вагон;ваг;—;626
2248;Тисяча вагонів;тис.ваг;—;627
2249;Умовний вагон;умов.ваг;—;628
2250;Вагоно-комплект;ваг.компл;—;629
2251;Тисяча локомотивів;тис.локом;—;696
2252;Пасажир;пасажир;—;725
2253;Тисяча пасажирів;тис.пасажир;—;726
2254;Мільйон пасажирів;млн.пасажир;—;727
2255;Кілограм умовного палива;кг умов.палив;—;734
2256;Потяг;потяг;—;735
2257;Ешелон;ешел;—;809
2258;Мільйон тонн вантажу на рік;млн.т вантаж/р.;—;829
2259;Посадочне місце;посад.місц;—;948
2260;Мільйон брутто-тонна;млн.брутто т;—;1057
2261;Потяг за добу;потяг/доб;—;1071
2262;Мільйон електровозо-кілометрів;млн.електровоз км;—;1166
2263;Тисяча вагонів у середньому за добу;тис.ваг.в середн/доб;—;1196
2264;Мільйон вагоно-кілометрів;млн.ваг.км;—;1197
2265;Мільйон потяго-кілометрів;млн.потяг.км;—;—
2266;Обсяг перевезень у тоннах;обсяг перев.т;—;—
2267;Брутто-тонна;брутто т;—;179
2268;Тисяча тонн тяги;тис.т тяги;—;—
2269;Тонна умовного вантажу;т умов.вантаж;—;195
2270;Платний кілометр;плат.км;—;24
2271;Тисяча платних кілометрів;тис.плат.км;—;1262
2272;Мільйон платних кілометрів;млн.плат.км;—;25
2273;Автомобіле-доба;авто.доб;—;—
2274;Тисяча автомобіле-діб;тис.авто.діб;—;1316
2275;Автотонна;авто.т;—;204
2276;Тисяча автотонн;тис.авто.т;—;467
2277;Мільйон автотонн;млн.авто.т;—;—
2278;Автомобіль умовний;авто.умов;—;600
2279;Автомобіль;авто;—;945
2280;Тисяча автомобілів;тис.авто;—;946
2281;Автоцистерна;автоцистер;—;—
2282;Кілометр на людину;км/люд;—;1340
2283;Кілометр одиничного шляху;км один.шлях;—;1406
2284;Тисяча тонн на кілометр;тис.т/км;—;1400
2285;Кілометр за добу;км/доб;—;332
2286;Брутто-тонно-кілометр;брутто ткм;;—
2287;Десять тисяч брутто-тонно-кілометрів;10 тис. брутто ткм;—;1393
2288;Десять тисяч тонно-кілометрів;10 тис. ткм;—;1394
2289;Умовний кілометр;умов.км;—;878
2290;Тисяча умовних кілометрів;тис.умов.км;—;49
2291;Кілометр приведений;км прив;—;858
23;ТРАНСПОРТ. ЧАСТИНА 2;;;
2301;Автомобіле-година;авто.год;—;390
2302;Тисяча автомобіле-годин;тис.авто.год;—;—
2303;Мільйон автомобіле-годин;млн.авто.год;—;—
2304;Автомобіле-день;авто.дн;—;391
2305;Тисяча автомобіле-днів;тис.авто.дн;—;—
2306;Мільйон автомобіле-днів;млн.авто.дн;—;—
2307;Автомобіле-тонно-день;авто.т.дн;—;—
2308;Тисяча автомобіле-тонно-днів;тис.авто.т.дн;—;—
2309;Мільйон автомобіле-тонно-днів;млн.авто.т.дн;—;—
2310;Автомобіле-місце-день;авто.місц.дн;—;—
2311;Тисяча автомобіле-місце-днів;тис.авто.місц. дн;—;—
2312;Мільйон автомобіле-місце-днів;млн.авто.місц. дн;—;—
2313;Автомобіле-кілометр;авто.км;—;392
2314;Тисяча автомобіле-кілометрів;тис.авто.км;—;—
2315;Мільйон автомобіле-кілометрів;млн.авто.км;—;—
2316;Тисяча тонн;тис.т;—;170
2317;Мільйон тонн;млн.т;—;172
2318;*Водотоннажність;водотон;—;1834
2319;Тисяча миль;тис.миль;—;—
2320;Мільйон миль;млн.миль;—;868
2321;Миля за добу;миля/доб;—;333
2322;Тисяча морських миль;тис.м.миль;—;48
2323;Тонно-миля;т.миля;—;435
2324;Тисяча тонно-миль;тис.т.миль;—;436
2325;Мільйон тонно-миль;млн.т.миль;—;437
2326;Мільярд тонно-миль;млрд.т.миль;—;438
2327;Мільйон тонно-миль приведених;млн.т.миль. приведен;—;1247
2328;Тонно-миля на тонну вантажопідйомності;т.миля/т вантажпідйом;—;536
2329;Тоннажо-рейс;тнж.рейс;—;446
2330;Тоннажо-миля;тнж.миля;—;440
2331;Тисяча тоннажо-миль;тис.тнж.миль;—;441
2332;Мільйон тоннажо-миль;млн.тнж.миль;—;—
2333;Мільярд тоннажо-миль;млрд.тнж. миль;—;—
2334;Тоннажо-доба;тнж.доб;—;447
2335;Тисяча тоннажо-діб;тис.тнж.діб;—;—
2336;Мільйон тоннажо-діб;млн.тнж.діб;—;448
2337;Тонна на судно-добу;т/судно.добу;—;1016
2338;Тисяча тонн тоннажу;тис.т тнж;—;—
2339;Тисяча тонн вантажу за рік;тис.т вантаж/р.;—;1116
2340;Пасажиро-миля;пас.миля;—;426
2341;Тисяча пасажиро-миль;тис.пас.миль;—;—
2342;Мільйон пасажиро-миль;млн.пас.миль;—;—
2343;Причал;причал;—;1322
2344;Погонний метр причалу;пог.м причал;—;1003
2345;Погонний кілометр причалу;пог.км причал;—;1015
2346;"Тонна фрахтова (корабельна)
(= 40 куб. футам = 1,132674 м3)";т фрахт;ton fr;—
2347;"Тонна реєстрова (англ.)
(= 100 куб.футам = 2,831685 м3)";т реєстр (англ.);ton red;—
2348;*Тонна обмірна (= 1,12 м3);т обмір;—;1833
2349;*Нетто-реєстрова тонна;нетто-реєстр. т;—;1832
2350;*Брутто-реєстрова тонна;брутто-реєстр. т;—;1831
2351;*Вантажопідйомність у метричних тоннах;вантажпідйом. метрич.т;—;1835
2352;Судно;судн;—;764
2353;Судно-доба;судн.доб;—;396
2354;"Кабельтов
(= 0,1 морської милі = 185,2 м)";каб;—;—
2355;Тонно-кілометр;ткм;—;449
2356;Транспорт;трансп;—;771
2357;Мотор-комплект;мотор.компл;—;703
2358;Місце;місц;—;698
2359;Тисяча місць;тис.місц;—;699
2360;Посадка;посадк;—;738
2361;Наліт сто годин;наліт сто год;—;1137
2362;Дивізіон;дивізіон;—;1070
2363;Загін;загін;—;962
2364;Підйомна сила;підйом.сила;—;—
2365;Повідомлення;повід;—;—
24;ОДИНИЦІ, ВИКОРИСТОВУВАНІ У ФІНАНСОВІЙ ДІЯЛЬНОСТІ;;;
2401;Зміна;змін;—;357
2402;День;дн;—;358
2403;Тисяча гривень вартості готової продукції;тис.грн.варт. готов.прод;—;—
2404;Тисяча гривень вартості послуг за рік;тис.грн. варт. послуг/р.;—;—
2405;Тисяча гривень вартості будівельно-монтажних робіт;тис.грн. варт. буд.монтаж.робіт;—;—
2406;Машино-день;маш.дн;—;505
2407;Машино-місяць;маш.місц;—;—
2408;Машино-зміна;маш.змін;—;507
2409;Нормо-зміна;норм.змін;—;510
2410;Норма за годину;норм/год;—;516
2411;Година на добу;год/доб;—;538
2412;Людино-день;люд.дн;—;540
2413;Тисяча людино-днів;тис.люд.дн;—;541
2414;Тисяча робочих місць;тис.роб.місць;—;954
2415;Тонна за зміну;т/змін;—;910
2416;Штука за годину;шт/год;—;543
2417;Штука у середньому за добу;шт.середн/доб;—;1259
2418;Обліковий верстат;облік.верст;—;1256
2419;Метр на людину;м/люд;—;1239
2420;Ліжко-доба;ліжк.доб;—;521
2421;Кубічний метр на людину;м3/люд;—;1344
2422;Понаднормова година;понаднорм.год;—;—
2423;Відсоток;%;—;744
2424;Робоча година;роб. год;—;—
2425;Людина;люд;—;792
2426;Тисяча людей;тис. люд;—;793
2427;Мільйон людей;млн. люд;—;794
2428;Мільярд людей;млрд. люд;—;795
2429;Тисяча годин;тис. год;—;363
2430;*Десятиріччя;десятиріч;—;1868
2431;Одиниця (продукції);од;—;642
2432;Мільярд одиниць (продукції);млрд. од;—;645
2433;Тисяча гривень у діючих цінах;тис. грн. діюч. цінах;—;—
2434;Мільйон гривень у діючих цінах;млн. грн. діюч. цінах;—;—
2435;Відсоток до відповідного періоду;%/відп. періоду;—;—
2436;Гривня у відпускних цінах;грн. відпуск. цінах;—;—
2437;Тисяча гривень у відпускних цінах;тис. грн. відпуск. цінах;—;—
2438;Мільйон гривень у відпускних цінах;млн. грн. відпуск. цінах;—;—
2439;Копійка у діючих цінах;коп. діюч. цінах;—;—
2440;Гривня у діючих цінах;грн. діюч. цінах;—;—
2441;Тисяча гривень у порівняних цінах;тис. грн. порівн. цінах;—;—
2442;Мільйон гривень у порівняних цінах;млн. грн. порівн. цінах;—;—
2443;Відсоток до початку періоду;%/поч. періоду;—;—
2444;Відсоток до відповідного періоду попереднього року;%/відп. періоду поперед.року;—;—
2445;Питома вага, %;питом. вага;—;—
2446;Одиниця обміну вартості первісна;Од.обміну варт.перв;—;—
2447;Одиниця обміну вартості ринкова;Од.обміну варт.ринк;—;—
2448;Одиниця обміну вартості номінальна;Од.обміну варт.номін;—;—
2449;Одиниця обміну вартості балансова;Од.обміну варт. баланс;—;—
2450;Одиниця обміну вартості відновлена;Од.обміну варт. віднов;—;—
2451;Одиниця обміну вартості залишкова;Од.обміну варт. залиш;—;—
2452;Одиниця обміну вартості ліквідаційна;Од.обміну варт. ліквід;—;—
2453;Одиниця обміну вартості корисного використання об’єкта основних засобів;Од.обміну варт.корис. викор.об.ОЗ;—;—
2454;Гривня;грн;—;—
2455;Тисяча гривень;тис. грн;—;—
2456;Мільйон гривень;млн. грн;—;—
2457;Умовна одиниця;умов.од;—;—
2458;Тисяча умовних одиниць;тис. умов.од;—;—
25;ОДИНИЦІ, ВИКОРИСТОВУВАНІ У ІНФОРМАТИЦІ;;;
2501;Біт;біт;bit;90
2502;Кілобіт;кбіт;kbit;—
2503;Мегабіт;Мбіт;Mbit;—
2504;Байт;байт;byte;93
2505;Кілобайт;кбайт;kbyte;342
2506;Мегабайт;Мбайт;Mbyte;343
2507;Гігабайт;Гбайт;Gbyte;—
2508;Біт на міліметр;біт/мм;bit/mm;—
2509;Біт на дюйм;біт/дюйм;bit/in;—
2510;Байт на міліметр;байт/мм;byte/mm;—
2511;Символ (код знака);симв;—;1223
2512;Модуль;мод;—;1217
2513;Операція;опер;—;—
2514;Тисяча операцій;тис.опер;—;1231
2515;Операцій за секунду;опер/с;—;—
2516;Мільйон операцій за секунду;млн.опер/с;—;186
2517;Машинне слово;маш.сл;—;—
2518;Розряд (числа, машинного слова);розр;—;—
2519;Комірка пам’яті (інформаційна);комір.п;—;—
2520;Тисяча комірок пам’яті (інформаційна);тис.комір.п;—;—
2521;Біт за секунду;біт/с;bit/s;—
2522;Кілобіт за секунду;кбіт/с;kbit/s;—
2523;Мегабіт за секунду;Мбіт/с;Mbit/s;—
2524;Байт за секунду;байт/с;byte/s;—
2525;Бод;бод;baud;1180
2526;Кілобод;кбод;kbaud;—
2527;Лінія (інформ.);лін;—;693
2528;Канал (пересилання даних);кан;—;—
2529;Пакет даних;пак.дан;—;—
2530;Тисяча пакетів даних;тис.пак.дан;—;—
2531;Кадр;кадр;—;1208
2532;Транзакція;транз;;—
2533;Запит;запит;;—
2534;Документ;докум;;—
2535;Документо-рядок;докум.ряд;;—
2536;Запис;запис;;—
2537;Транзакція в секунду;транз/с;;—
2538;Документів у рік;докум/р.;;—
2539;Документо-рядків у рік;докум.ряд/р.;;—
2540;Показник;показ;;—
2541;Показників у рік;показ/р.;;—
2542;Команд за секунду;команд/с;;—
2543;Кібібіт;Кібіт;Kibit;—
2544;Мебібіт;Мібіт;Mibit;—
2545;Кібібайт;Кібайт;Kibyte;—
2546;Мебібайт;Мібайт;Mibyte;—
2547;Гібібайт;Гібайт;Gibyte;—
2548;Кібібіт за секунду;Кібіт/с;Kibit/s;—
2549;Мебібіт за секунду;Мібіт/с;Mibit/s;—
26;ОСВІТА ТА ОХОРОНА ЗДОРОВ’Я;;;
2601;Місце для сидіння;місц.сидін;—;1260
2602;Крісло;крісл;—;1318
2603;Кушетка;кушет;—;1319
2604;Ванна;ванн;—;1321
2605;Ліжко;ліжк;—;669
2606;Тисяча ліжок;тис.ліжк;—;941
2607;Тисяча учнівських місць;тис.учн.місц;—;939
2608;Тисяча учнівських ліжок;тис.учн.ліжк;—;1106
2609;Відвідувань за зміну;відв/змін;—;225
2610;Доза;доз;—;639
2611;Тисяча доз;тис.доз;—;640
2612;Препарат;преп;—;739
2613;Аналіз;анал;—;—
2614;Мільйон аналізів;млн.анал;—;1162
27;ОДИНИЦІ ВИМІРЮВАННЯ ТА ОБЛІКУ, ВИКОРИСТОВУВАНІ В ІНШИХ ВИДАХ ЕКОНОМІЧНОЇ ДІЯЛЬНОСТІ. ЧАСТИНА 1;;;
2701;Погонний сантиметр;пог.см;—;—
2702;Погонний метр;пог.м;—;11
2703;Десять погонних метрів;10 пог.м;—;899
2704;Сто погонних метрів;100 пог.м;—;22
2705;Тисяча погонних метрів;тис.пог.м;—;12
2706;Мільйон погонних метрів;млн.пог.м;—;13
2707;Умовний метр;умов.м;—;14
2708;Десять умовних метрів;10 умов.м;—;—
2709;Сто умовних метрів;100 умов.м;—;—
2710;Тисяча умовних метрів;тис.умов.м;—;15
2711;Мільйон умовних метрів;млн.умов.м;—;16
2712;Тисяча метрів;тис.м;—;860
2713;Мільйон метрів;млн.м;—;861
2714;Умовний погонний метр;умов.пог.м;—;999
2715;Сто умовних погонних метрів;100 умов.пог.м;—;—
2716;Тисяча умовних погонних метрів;тис.умов.пог.м;—;867
2717;Метр умовного діаметра;м умов.діам;—;564
2718;Відправко-кілометр;від.км;—;407
2719;Погонний кілометр;пог.км;—;1087
2720;Тисяча еквівалентних кілометрів;тис.екв.км;—;30
2721;Тисяча кілометрів умовного діаметра;тис.км умов. діам;—;32
2722;Кілометр умовним діаметром 50 мм;км умов.діам 50 мм;—;34
2723;Тисяча кілометрів у приведеному обчисленні;тис.км прив. обчис;—;33
2724;Метр жили;м жил;—;—
2725;Тисяча метрів жили;тис.м жил;—;—
2726;Кілометр жили;км жил;—;1021
2727;Тисяча кілометрів жили;тис.км жил;—;1022
2728;Метр прокладки;м прокл;—;29
2729;Тисяча метрів прокладки;тис.м прокл;—;26
2730;Штука на погонний метр;шт/пог.м;—;550
2731;Тисяча штук на тисячу метрів;тис.шт./тис.м;—;549
2732;Метр обплетення;м обпл;—;866
2733;Тисяча метрів обплетення;тис.м обпл;—;23
2734;Метр на штуку;м/шт;—;511
2735;Тисяча квадратних міліметрів;тис.мм2;—;52
2736;Тисяча квадратних сантиметрів;тис.см2;—;54
2737;Мільйон квадратних сантиметрів;млн.см2;—;—
2738;Мільярд квадратних сантиметрів;млрд.см2;—;60
2739;Тисяча квадратних дециметрів;тис.дм2;—;56
2740;Мільйон квадратних дециметрів;млн.дм2;—;870
2741;*Тисяча квадратних метрів;тис.м2;—;58
2742;Мільйон квадратних метрів;млн.м2;—;—
2743;Мільярд квадратних метрів;млрд.м2;—;1027
2744;Квадратний метр на тонну;м2/т;—;512
2745;Тисяча квадратних метрів стрічки;тис.м2 стріч;—;874
2746;Тисяча квадратних метрів приведених;тис.м2 прив;—;957
2747;Тисяча квадратних метрів умовної товщини;тис.м2 умов. товщ;—;1149
2748;Квадратний метр в умовному обчисленні;м2 умов.обчис;—;859
2749;Квадратний метр умовний;м2 умов;—;81
2750;Тисяча квадратних метрів умовних;тис.м2 умов;—;82
2751;Мільйон квадратних метрів умовних;млн.м2 умов;—;83
2752;Квадратний метр прокладок;м2 прокл;—;156
2753;Тисяча квадратних метрів прокладок;тис.м2 прокл;—;80
2754;Мільйон квадратних метрів у 2 мм обчисленні;млн.м2 2 мм обчис;—;871
2755;Мільйон квадратних метрів умовної товщини 10 мм;млн.м2 умов. товщ 10 мм;—;1148
2756;Квадратний метр у натуральному обчисленні;м2 нат.обчис;—;107
2757;Сто квадратних метрів у натуральному обчисленні;100 м2 нат. обчисл;—;—
2758;Тисяча квадратних метрів у натуральному обчисленні;тис.м2 нат. обчисл;—;75
2759;Мільйон квадратних метрів у натуральному обчисленні;млн.м2 нат. обчис;—;873
2760;Квадратний метр еквівалентний;м2 екв;—;84
2761;Сто квадратних метрів еквівалентних;100 м2 екв;—;—
2762;Тисяча квадратних метрів еквівалентних;тис.м2 екв;—;85
2763;Мільйон квадратних метрів еквівалентних;млн.м2 екв;—;86
2764;Сто квадратних метрів в умовному обчисленні;100 м2 умов. обчис;—;—
2765;Тисяча квадратних метрів в умовному обчисленні;тис.м2 умов. обчис;—;91
2766;Тисяча квадратних метрів умовної товщини 10 мм;тис. м2 умов. товщ 10 мм;—;76
2767;*Мільйон кубічних метрів;млн.м3;—;115
2768;Кубічний метр стандартний;м3 станд;—;1119
2769;Кубічний метр щільний;м3 щілн;—;1036
2770;Сто кубічних метрів щільних;100 м3 щілн;—;—
2771;Тисяча кубічних метрів щільних;тис.м3 щілн;—;136
2772;Мільйон кубічних метрів щільних;млн.м3 щілн;—;—
2773;Тисяча кубічних метрів місткості ковша;тис.м3 міст. ковша;—;147
2774;Тисяча канало-кілометрів;тис.кан.км;—;1199
2775;Мільйон квадратних метрів у 22 мм обчисленні;млн.м2 22 мм обчис;—;1213
2776;Тисяча квадратних кілометрів;тис.км2;—;63
2777;Мільйон квадратних кілометрів;млн.км2;—;—
2778;Сто кубічних метрів;100 м3;—;—
2779;Тисяча кубічних метрів;тис.м3;—;114
2780;Сто кубічних метрів приведених;100 м3 прив;—;—
2781;Тисяча кубічних метрів приведених;тис.м3 прив;—;140
2782;Мільйон кубічних метрів приведених;млн.м3 прив;—;141
2783;Мільярд кубічних метрів на кілометр;млрд.м3/км;—;312
2784;Кубічний метр виробів;м3 вироб;—;144
2785;Тисяча кубічних метрів виробів;тис.м3 вироб;—;877
2786;Тисяча умовних кубічних метрів виробів;тис.умов.м3 вироб;—;—
28;ОДИНИЦІ ВИМІРЮВАННЯ ТА ОБЛІКУ, ВИКОРИСТОВУВАНІ В ІНШИХ ВИДАХ ЕКОНОМІЧНОЇ ДІЯЛЬНОСТІ. ЧАСТИНА 2;;;
2801;Мілілітр за годину;мл/год;—;—
2802;Тисяча декалітрів за рік;тис.дал/р.;—;978
2803;Міліметр за годину;мм/год;—;1191
2804;Кубічний міліметр за годину;мм3/год;—;1184
2805;Грам на метр у квадраті;г/м2;—;1181
2806;Кілограм одинці роботи розділення;кг одн.роб. розд;—;1035
2807;Кілограм за годину;кг/год;—;578
2808;Тисяча декалітрів за добу;тис.дал/доб;—;598
2809;Тисяча кубічних метрів місткості;тис.м3 міст;—;145
2810;Тисяча умовних кубічних метрів;тис.ум.м3;—;879
2811;Тисяча кубічних метрів комплектів;тис.м3 компл;—;131
2812;Тисяча декалітрів;тис.дал;—;125
2813;Мільйон декалітрів;млн.дал;—;—
2814;Кілограм на моноблок;кг/мнбл;—;498
2815;Кілограм на тонно-кілометр;кг/ткм;—;500
2816;Умовний кілограм;умов.кг;—;780
2817;Тонна за годину;т/год;—;531
2818;Тонна на тисячу квадратних метрів;т/тис.м2;—;529
2819;Тонна за добу в асортименті;т/доб.асорт;—;848
2820;Тисяча тонн за добу;тис.т/доб;—;557
2821;Кубічний метр умовний;м3 умов;—;—
2822;Грам на кіловат-годину;г/кВт·год;—;1049
2823;Кілограм на міліметр ширини;кг/мм шир;—;—
2824;Тисяча кубічних метрів на кілокалорію;тис.м3/ккал;—;1242
2825;Метро-уточина;м.уточ;—;1265
2826;*Кілограм сухої на 90 % речовини;кг сух. 90 % реч;—;1892
2827;*Тонна сухої на 90 % речовини;т сух. 90 % реч;—;1893
2828;Одиниця на тонну;од/т;—;493
2829;Тонна на трудомісткість;т/трудом;—;1264
2830;Тонна теоретичної маси;т теор.мас;—;191
2831;Тонна масла;т масл;—;189
2832;Тонна скломаси;т скломас;—;177
2833;Тонна сировини;т сиров;—;178
2834;Кілограм вторсировини;кг вторсиров;—;1092
2835;Мілілітр води;мл води;—;—
2836;Сто квадратних метрів;100 м2;—;1279
2837;Тисяча гектолітрів;тис.гл;—;129
2838;Погонний метр умовним діаметром 50 мм;пог.м умов.діам 50 мм;—;1278
2839;Тисяча літрів;тис.л;—;124
2840;Нетто-тонна;нетто т;—;—
2841;Кількість пригод;кільк.приг;—;1334
2842;Кубічний метр за хвилину;м3/хв;—;1335
2843;Тисяча проб;тис.проб;—;1341
2844;Тисяча півлітрів;тис.півл;—;—
2845;Кубічний метр на тонну;м3/т;m3/t;1235
2846;Тисяча ліній;тис.лін;—;123
2847;Метр умовним діаметром 50 мм;м умов.діам 50 мм;—;1258
2848;Мільйон літрів;млн.л;—;126
2849;Мільярд літрів;млрд.л;—;128
2850;Кубічний метр комплектів;м3 компл;—;1311
2851;Мільйон декалітрів за рік;млн.дал/р.;—;979
2852;Тонна умовного палива;т умов.палив;—;199
2853;Тонно-номер;т.номер;—;894
2854;Тисяча кубічних метрів за рік;тис.м3/р.;—;1346
2855;Тонна за рік;т/р.;—;844
2856;Тонна у перерахунку на 100 % поживних речовин;т перерах.100 % поживн.реч;—;175
2857;Тисяча тонн у перерахунку на 100 % поживних речовин;тис.т перерах. 100 % поживн. реч;—;146
2858;Тисяча тонно-номерів;тис.т.номер;—;895
2859;Тисяча тонн конденсату;тис.т конд;—;347
2860;Квадратний метр загальної площі навчально-лабораторних будівель;м2 заг.площ. навч.лаб.буд;—;1385
2861;Квадратний метр дзеркала води;м2 дзерк.вод;—;1387
2862;Центнер фізичної маси;ц фіз.мас;—;1390
2863;Тисяча кубічних метрів за добу-градус;тис.м3/доб.градус;—;1395
2864;Тонна умовної вологості;т умов.волог;—;197
2865;Тисяча тонно-операцій;тис.т.опер;—;1397
2866;Мільйон кубічних метрів манометричного напору;млн.м3 маном. нап;—;1402
2867;Тисяча тонн на людину;тис.т/люд;—;1108
2868;Тонна сухої маси;т сух.маси;—;1396
2869;Тонна умовної місткості;т.умов.міст;—;188
2870;Корд;корд;—;1826
2871;Тисяча тонн детвейта;тис.т детв;—;1044
2872;Комплект на тонну;компл/т;—;502
2873;Тисяча тонн умовних одиниць;тис.т умов.од;—;900
2874;Тисяча тонн поживних речовин;тис.т пож.реч;—;902
2875;Мільйон тонн поживних речовин;млн.т пож.реч;—;1135
2876;Кубічний метр приведений;м3 прив;—;904
2877;Мільйон тонн одноразового зберігання;млн.т однораз. збер;—;1086
2878;Дедвейт-тонна;дедв.т;—;990
2879;Тисяча гектарів порцій;тис.га порц;—;724
2880;Тонно-танід;т.танід;—;184
29;ОДИНИЦІ ВИМІРЮВАННЯ ТА ОБЛІКУ, ВИКОРИСТОВУВАНІ В ІНШИХ ВИДАХ ЕКОНОМІЧНОЇ ДІЯЛЬНОСТІ. ЧАСТИНА 3;;;
2901;Тонна за добу;т/доб;—;932
2902;Тонна сухої білизни за зміну;т сух.білиз/змін;—;—
2903;Тонна приведена;т прив;—;—
2904;Тонна товарної продукції;т тов.прод;—;897
2905;Мільйон тонн умовної вологості;млн.т умов. волог;—;898
2906;Машина;маш;—;1056
2907;Блок;блок;—;408
2908;Машино-година;маш.год;—;967
2909;Грам речовини, яка поділяється;г реч.поділ;;—
2910;Система;сист;—;740
2911;Об’єкт;об’єкт;—;1047
2912;Установка;уст;—;406
2913;Пристрій;пристр;—;1059
2914;Секція;секц;—;755
2915;Тисяча секцій;тис.секц;—;756
2916;Станція;станція;—;762
2917;Стан;стан;—;1073
2918;Тисяча станів;тис.стан;—;761
2919;Одиниця умовного палива;од.умов.пал;—;—
2920;Гірка;гірка;—;1076
2921;Маса квадратного метра;маса м2;—;—
2922;Фабрика;фабр;—;1200
2923;Пункт;пункт;—;961
2924;Парк;парк;—;1009
2925;Проліт;прол;—;743
2926;Дія;дія;—;827
2927;Профіль;профіль;—;1095
2928;Трубка;труб;—;772
2929;Стрічка;стріч;—;691
2930;Тисяча стрічок;тис.стріч;—;692
2931;Частка;частка;;1214
2932;Тисяча елементів;тис.елем;—;1147
2933;Патрон;патр;—;817
2934;*Виріб;виріб;—;657
2935;Тисяча виробів;тис.вироб;—;658
2936;Мільйон виробів;млн.вироб;—;659
2937;Мільярд виробів;млрд.вироб;—;660
2938;Комплект;компл;—;671
2939;Сто комплектів;100 компл;—;234
2940;Тисяча комплектів;тис.компл;—;673
2941;Мільйон комплектів;млн.компл;—;674
2942;Вік;вік;—;368
2943;Боєкомплект;боєкомпл;—;619
2944;Півкомплект;півкомпл;—;672
2945;Умовна плитка;умов.плит;—;741
2946;Мільйон умовних плиток;млн.умов.плит;—;733
2947;Карто-відходи;картовідх;—;845
2948;Кільце;кільц;—;1067
2949;Тисяча умовних плиток;тис.умов.плит;—;732
2950;Туб;туб;—;774
2951;Тисяча тубів;тис.туб;—;775
2952;Тисяча умовних тубів;тис.умов.туб;—;—
2953;Контур;конт;—;1145
2954;Комплектів на один круг;компл.на круг;—;1157
2955;Комплектів на десять кругів;компл.на 10 кругів;—;1158
2956;Комплектів на двадцять кругів;компл.на 20 кругів;—;1159
2957;Умовний кусок;умов.кус;—;—
2958;Тисяча умовних труб;тис.умов.тр;—;—
2959;Тисяча штук заготовок;тис.шт.заг;—;1065
2960;Тисяча штук кілець;тис.шт.кілець;—;1066
2961;Тисяча з’єднань;тис.з’єдн;—;1062
2962;Тисяча штук секцій;тис.шт.секц;—;1074
2963;Тисяча боєкомплектів;тис.боєкомпл;—;620
2964;Натуральна одиниця;нат.од;—;1113
2965;Мільярд екземплярів;млрд.екз;—;1143
2966;Станція на 900 телефонних каналів;станція 900 тел.канал;—;1122
2967;Станція на 720 телефонних каналів;станція 720 тел.канал;—;1124
2968;Станція на 30 телефонних каналів;станція 30 тел. канал;—;1130
2969;Станція на 2 системи;станція 2 сист;—;1123
30;ОДИНИЦІ ВИМІРЮВАННЯ ТА ОБЛІКУ, ВИКОРИСТОВУВАНІ В ІНШИХ ВИДАХ ЕКОНОМІЧНОЇ ДІЯЛЬНОСТІ. ЧАСТИНА 4;;;
3001;Заправка;запр;—;652
3002;Зарядка;зар;—;653
3003;Ланка;ланк;—;654
3004;Тисяча ланок;тис.ланк;—;655
3005;Мільйон ланок;млн.ланк;—;656
3006;Метр на верстато-місяць;м/верст.місяць;—;1008
3007;Кількість смуг;кільк.смуг;—;947
3008;Середній текс;середн.текс;—;209
3009;Кількість;кільк;—;1004
3010;Розмір;розм;—;1195
3011;Порція;порц;—;737
3012;Пари за годину;пар/год;—;—
3013;Наважка;наваж;—;705
3014;Тисяча стиків;тис.стик;—;763
3015;Фаза;фаз;—;782
3016;Полюс;полюс;—;736
3017;Тисяча полюсів;тис.полюс;—;1020
3018;Номер;ном;—;708
3019;Тисяча номерів;тис.ном;—;709
3020;Паспорт;пасп;—;714
3021;Формуляр;форм;—;787
3022;Номер сита;ном.сит;—;—
3023;Тисяча натуральних кварців;тис.нат.кварц;—;821
3024;Тисяча штук у 200-аркушному обчисленні;тис.шт.200 арк. обчис;—;568
3025;Штука на гігакалорію за годину;шт.Гкл/год;—;546
3026;Штука на кіловат;шт/кВт;—;547
3027;Тисяча працівників;тис.прац;—;—
3028;Тисяча штук у 50-аркушному обчисленні;тис.шт.50 арк. обчис;—;567
3029;Колодка;колодка;—;700
3030;Тисяча колодок;тис.колодок;—;1100
3031;Тисяча визначених елементів;тис.визн.елемент;—;1103
3032;Кіносеанс;кіносеанс;—;1209
3033;Камера;камер;—;335
3034;Грам на кілограм;г/кг;g/kg;—
3035;Картоколонки;картоколон;—;846
3036;Процес;процес;—;1010
3037;Дубль;дубль;—;857
3038;Постановка;постан;—;937
31;ОДИНИЦІ ВИМІРЮВАННЯ ТА ОБЛІКУ, ВИКОРИСТОВУВАНІ В ІНШИХ ВИДАХ ЕКОНОМІЧНОЇ ДІЯЛЬНОСТІ. ЧАСТИНА 5;;;
